Capacity;Hour;Minutes;Time;time_adjusted
110;7;28;448;439
75;7;29;449;440
110;7;29;449;440
110;7;42;462;453
110;7;45;465;456
110;7;48;468;459
110;7;51;471;462
110;7;54;474;465
110;7;57;477;468
110;7;59;479;470
75;7;59;479;470
150;8;2;482;473
110;8;7;487;478
110;8;9;489;480
110;8;11;491;482
110;8;16;496;487
110;8;22;502;493
75;8;27;507;498
110;8;32;512;503
110;8;34;514;505
110;8;37;517;508
110;8;40;520;511
110;8;43;523;514
110;8;45;525;516
110;8;46;526;517
110;8;48;528;519
110;8;50;530;521
110;8;52;532;523
110;8;53;533;524
75;8;55;535;526
75;8;58;538;529
110;9;1;541;532
110;9;4;544;535
110;9;7;547;538
110;9;10;550;541
110;9;13;553;544
75;9;19;559;550
110;9;24;564;555
110;9;29;569;560
110;9;34;574;565
110;9;40;580;571
110;9;47;587;578
75;9;57;597;588
150;9;56;596;587
110;10;0;600;591
110;10;6;606;597
